Kilometers_Driven,Fuel_Type,Transmission,Engine CC,Power,Seats,Mileage Km/L,Price
72000,CNG,Manual,998,58.16,5,26.6,1.75
41000,Diesel,Manual,1582,126.2,5,19.67,12.5
46000,Petrol,Manual,1199,88.7,5,18.2,4.5
87000,Diesel,Manual,1248,88.76,7,20.77,6
40670,Diesel,Automatic,1968,140.8,5,15.2,17.74
75000,LPG,Manual,814,55.2,5,21.1,2.35
86999,Diesel,Manual,1461,63.1,5,23.08,3.5
36000,Diesel,Automatic,2755,171.5,8,11.36,17.5
64430,Diesel,Manual,1598,103.6,5,20.54,5.2
65932,Diesel,Manual,1248,74,5,22.3,1.95
25692,Petrol,Manual,1462,103.25,5,21.56,9.95
60000,Petrol,Automatic,1497,116.3,5,16.8,4.49
64424,Diesel,Manual,1248,74,5,25.2,5.6
72000,Diesel,Automatic,2179,187.7,5,12.7,27
85000,Diesel,Automatic,2179,115,5,0,17.5
110000,Diesel,Manual,2477,175.56,7,13.5,15
58950,Diesel,Manual,1498,98.6,5,25.8,5.4
25000,Diesel,Manual,1248,74,5,28.4,5.99
77469,Diesel,Manual,1461,83.8,5,20.45,6.34
78500,Diesel,Automatic,2143,167.62,5,14.84,28
32982,Diesel,Automatic,1995,190,5,22.69,18.55
55392,Diesel,Manual,1248,88.5,5,23.65,8.25
55985,Petrol,Automatic,1984,177.01,5,13.53,23.5
45807,Petrol,Manual,1197,80,5,18.5,1.87
33000,Petrol,Automatic,1598,103.6,5,14.4,2.85
51920,Petrol,Manual,1497,116.3,5,16.8,4.25
54000,Diesel,Manual,1461,63.1,5,23.08,4.25
54000,Petrol,Manual,998,67.1,5,20.92,2.75
37430,Petrol,Manual,1199,88.7,5,17.5,9.9
262000,Diesel,Manual,2494,102,7,12.8,4
62000,Diesel,Manual,1461,108.45,5,19.01,7.75
87615,Petrol,Manual,1798,138.1,5,14.53,6.75
72000,Diesel,Automatic,2696,184,7,11.18,12.5
35000,Diesel,Automatic,2698,179.5,5,12.4,11.5
55431,Petrol,Manual,1598,103.5,5,16.09,6.98
83816,Petrol,Manual,1061,64,5,14,1.85
50075,Diesel,Manual,1248,88.5,5,24.3,8.63
52000,Petrol,Manual,1198,82,5,18.15,4.85
85000,Diesel,Automatic,2987,254.8,5,11.74,28
62000,Diesel,Manual,1199,73.9,5,22.07,5
90000,Petrol,Manual,796,46.3,5,19.7,1.25
19698,Petrol,Manual,624,37.5,4,25.4,1.53
22033,Diesel,Manual,1198,77,6,25.32,5.58
35487,Petrol,Manual,1197,82.9,5,18.5,4.74
46374,Petrol,Automatic,1999,149.92,5,14.62,8.85
52001,Petrol,Automatic,1798,138.03,5,14.28,10.11
58005,Diesel,Manual,1991,112.2,5,14.9,4.25
70704,Petrol,Manual,2694,163.7,7,11.25,10.95
75000,Diesel,Manual,1120,71,5,24.4,3.85
75800,Diesel,Manual,2498,105,6,16.55,5.5
13648,Diesel,Automatic,1968,174.33,5,17.11,21.43
52000,Diesel,Manual,1248,74,5,22.9,4.25
53000,Diesel,Manual,1248,75,5,17.8,3.3
65650,Diesel,Manual,1248,74,5,28.4,3.85
54000,Petrol,Manual,1197,82,5,18.9,3.6
39000,Petrol,Manual,1598,103.2,5,15.04,3.99
16542,Petrol,Manual,799,53.3,5,25.17,3.3
32000,Petrol,Manual,1197,78.9,5,20.36,2.07
121812,Diesel,Automatic,1995,147.6,5,13.29,7.75
39300,Petrol,Manual,998,67.1,5,18.2,2.25
22000,Diesel,Manual,2393,147.8,8,13.68,16.5
72000,Diesel,Manual,1399,68,5,20,2.75
58000,Petrol,Automatic,1796,186,5,11.74,26.7
65000,Diesel,Manual,2148,170,5,15.8,10
178000,Diesel,Manual,1396,69,5,25,2.5
65664,Diesel,Automatic,1968,140,5,16.55,13.5
63000,Petrol,Automatic,1497,78,5,16.4,1.85
15369,Diesel,Automatic,1950,194,5,0,35.67
63000,Diesel,Manual,1248,88.5,7,24.52,8.15
13000,Diesel,Manual,1396,88.7,5,22.1,10.5
73000,Petrol,Automatic,4806,500,5,8.5,14.5
55729,Diesel,Manual,2179,140,7,15.1,9.65
45178,Petrol,Automatic,1197,78.9,5,16.95,3.48
56066,Diesel,Manual,1461,108.5,5,19.64,6.92
37300,Petrol,Automatic,1198,86.8,5,16.5,6.46
56000,Diesel,Automatic,1968,187.74,5,18.53,29.5
111111,Diesel,Manual,1399,74,5,17.8,2
230000,Petrol,Manual,1998,132,8,12.4,4.5
104000,Diesel,Manual,2494,102,7,12.8,11.75
87591,Petrol,Manual,1086,74,5,0,1.3
95100,Diesel,Manual,1248,74,5,22.9,3.75
70000,Petrol,Manual,1193,88.7,5,17.57,4.5
54944,Petrol,Manual,1198,86.7,5,18,4.82
